Emailtext;Department
The customer needs an explanation of the last invoice.;customer service
We have received a complaint from a customer.;customer service
The customer asks about a delivery time for his order.;customer service
Could you please review the refund request?;customer service
I need help processing a return.;customer service
Is there a date for the next IT update?;IT
We need new marketing materials for the next trade fair.;marketing
Do we have the details of the new data protection regulations?;staff
Please send me the order confirmation for the last purchase.;logistics
The customer has questions about the last product order.;customer service
The order has not arrived yet, when can we expect delivery?;customer service
Could we confirm the new policy for company parties?;staff
When is the next billing deadline?;accounting
Our inventory appears to be out of date, please check stock.;logistics
The advertising campaign needs to be updated, please confirm.;marketing
I have a problem with my team collaboration software.;IT
I need proof for my tax return.;accounting
Can you give me the current tax regulations for the purchase?;accounting
The social media channels must be prepared for the next event.;marketing
The customer would like a price list for our services.;customer service
I have an uncertainty in my last pay slip.;accounting
When is the next delivery expected?;logistics
We need more information about the new health program.;staff
My employee's laptop won't start.;IT
Please organize the return for a customer.;customer service
Is there any news about our new product launch?;marketing
We need new employees for the logistics department.;staff
Can you arrange a replacement for the damaged product?;logistics
The customer wants to know when the goods will arrive.;customer service
Is there a way to optimize our storage space?;logistics
I need information about travel expense reports.;accounting
The customer wants a refund.;customer service
Is there still space for the next workshop?;human resources department
Please provide a forecast for the next quarterly figures.;accounting
The customer has a complaint about the last service.;customer service
We need the current personnel budget for next year.;accounting
When is the next IT service appointment for our hardware?;IT
Is there training material on team leadership?;human resources department
The stock of office supplies is almost empty.;logistics
The customer wants to know more about our products.;customer service
Can you update me on the progress of the new campaign?;marketing
I need a software license for a new tool.;IT
The customer is dissatisfied with the invoice and requests clarification.;accounting
When is the next meeting with HR?;human resources department
have a question about my salary development.;staff
When will the next sale take place?;marketing
Can we calculate the cost of the new office equipment?;accounting
We need information about the “Communication” training.;human resources department
The customer asks for a discount on the next order.;customer service
I have a problem with my email synchronization.;IT
Please confirm the next delivery of goods.;logistics
The customer would like to submit a repair request.;customer service
The team leaders ask for new training materials.;human resources department
Do you have a current overview of inventory?;logistics
We need more information about the current campaigns.;marketing
The last order arrived damaged, can you please clarify this?;logistics
We need additional information for the operating cost analysis.;accounting
The customer requests a detailed cost breakdown.;accounting
Is there any news about the health program?;staff
Can you resolve the technical billing issues?;IT
Are there any updates to the working hours regulations?;staff
The customer asks for an update on the project status.;customer service
The next training is next week, are you available?;human resources department
The marketing department needs additional resources.;marketing
There are questions about the last expense report.;accounting
When does the next sales promotion campaign start?;marketing
Staff needs access to new software training.;human resources department
Is there any training material available for team development?;human resources department
Our customer has responded well to the new product line.;customer service
I need access to a new reporting tool.;IT
My email keeps getting unsubscribed, can you fix this?;IT
The customer needs information about the last invoice.;customer service
Is there an update to the payroll system?;accounting
When can we deliver the new product line to our warehouse?;logistics
I need details about the current marketing campaign.;marketing
The new health insurance regulations still seem to be unclear, could you help me?;staff
My laptop is extremely slow, is there any way to improve it?;IT
The customer would like to receive a price inquiry for our services.;customer service
Can you send me the access data for the CRM system?;IT
The expense report for the last business trip is missing.;accounting
We have a stock order that should arrive soon.;logistics
The next advertising campaign needs new design templates.;marketing
I need access to the new company network.;IT
The customer asks about a delivery time for his order.;customer service
When will the next update for our software be released?;IT
Could you approve the costs for the last employee event?;accounting
I have a question about the calculation of the last pay slip.;accounting
Our inventory needs to be brought up to date.;logistics
We need a new campaign for the upcoming trade fair.;marketing
The customer needs technical support for a product.;customer service
The new data protection regulation must be reviewed and adapted.;IT
Are there any documents left from the last training?;human resources department
Please check the status of my last order.;logistics
We need to analyze the sales figures from the last marketing campaign.;marketing
The laptop no longer works properly.;IT
The pay slip for this month has not arrived yet.;accounting
We need an inventory update.;logistics
The customer has a complaint about the invoice and asks for clarification.;customer service
Could you introduce the new digital marketing strategy?;marketing
The new IT security policy is not yet active on my laptop.;IT
I have a question about my working hours.;staff
When is the next employee development workshop?;human resources department
The customer needs assistance returning a product.;customer service
The next tax return is still open.;accounting
Can we check the last order in the warehouse?;logistics
Is there an overview of planned marketing campaigns?;marketing
Customer service needs more details about a problem.;customer service
The printer in the office no longer works.;IT
Are there any updates on the new salary structure?;staff
When is the next inventory update expected in the warehouse?;logistics
Is there any news about the current campaign on social media?;marketing
I can't log into my work account.;IT
The customer wants a detailed overview of the last invoice.;accounting
When is the next employee training planned?;human resources department
Can you update the product information for the customer?;customer service
The customer asks for a delivery status update.;customer service
We need new resources for the next marketing event.;marketing
Health insurance contributions have increased, is there an adjustment?;staff
I need help installing new software.;IT
Can you confirm the status of the next employee workshop?;human resources department
Our inventory of office supplies is low.;logistics
Is there a new directive on teleworking?;staff
The customer would like to receive information about delivery times.;customer service
Can you arrange a replacement for the damaged product?;logistics
The next salary transfer seems to be delayed.;accounting
Is there a current overview of inventory levels?;logistics
The laptop won't boot up anymore.;IT
When is the next marketing strategy meeting?;marketing
Employees need new access data for the company network.;IT
I have a request to calculate expenses for the last business trip.;accounting
The logistics department needs support in organizing incoming goods.;logistics
Is there any information about the latest marketing campaign?;marketing
The customer asks for a discount on the product.;customer service
I need a software license for the new application.;IT
The costs for the employee event must be approved.;accounting
We need an inventory review for the next quarter.;logistics
The customer is dissatisfied with the waiting time for the product.;customer service
Please check the invitation for the next workshop.;human resources department
The sales figures from the last campaign need to be analyzed.;marketing
Can you confirm the status of the last payslip?;accounting
The network is extremely slow today, are there any problems?;IT
The customer would like to check the refund option for his product.;customer service
The next training on conflict resolution is being planned.;human resources department
The product information needs to be updated for the website.;marketing
When will the next staff meeting take place?;staff
The customer would like to receive technical clarification about a product.;customer service
The order has not been delivered yet, when will it arrive?;logistics
Is there an overview of the latest quarterly figures?;accounting
We need approval for the new marketing campaign.;marketing
Can you please check the status of the last order in the warehouse?;logistics
The customer would like to know the status of his repair request.;customer service
We need information for the next staff survey.;human resources department
Customer service asks about a possible price adjustment.;customer service
The new HR policy has not yet been implemented.;staff
Is there an update to the access rights for the employee database?;IT
When is the next inventory report expected?;logistics
Can you give me access to the new marketing dashboard?;marketing
The customer asks about the status of his refund request.;customer service
I need access to the latest version of the software.;IT
The customer asks for an explanation of the invoice.;accounting
The next inventory is coming up, please prepare everything.;logistics
Are there new guidelines for employee training?;human resources department
The customer would like to clarify the shipping costs for his order.;customer service
When will the next security update be released?;IT
The stock of packaging materials must be replenished.;logistics
Are there new guidelines for employee interviews?;staff
The current social media campaign needs optimization.;marketing
The customer asks about the warranty conditions for his product.;customer service
I'm having trouble accessing the VPN connection.;IT
Is there any news regarding employee health care?;staff
"""Could you please send me an overview of the current financial reports?""";accounting
"""We have some new requests for product information, please help us answer them.""";marketing
"""My laptop won't start anymore, can you check?""";IT
"""Could you please send me a copy of your last pay stub?""";staff
"""There was a delay in the delivery of our products, can you check the status?""";logistics
"""We urgently need a new job advertisement for sales.""";human resources department
"""Please check the incoming payments for the last invoices.""";accounting
"""Our current advertising budget needs to be reviewed and reallocated.""";marketing
"""The VPN hasn't been working since yesterday, can you fix it?""";IT
"""Could you update the inventory system?""";logistics
"""Please prepare the tax documents for the quarter.""";accounting
"""Can we update the contact information in the employee list?""";staff
"""We need support in planning a new social media campaign.""";marketing
"""I urgently need a copy of the last tax certificate.""";accounting
"""The printer on the third floor has a paper jam, can you solve it?""";IT
"""We need support in recruiting new employees.""";human resources department
"""Can you please process the outstanding invoices for customer XY?""";accounting
"""The current warehouse is almost full, we need to take a new inventory.""";logistics
"""We need to plan the advertising campaign for the coming quarter.""";marketing
"""Please check the payments for the last invoices and send an overview.""";accounting
"""The security updates on my computer are out of date, can you do this?""";IT
"""We need support for the new technical support job opening.""";human resources department
"""Can you check the new salary data for this month?""";staff
"""The report on financial reserves is urgent.""";accounting
"""Please update the data in the employee portal.""";staff
"""We want to plan a new event for our customers.""";marketing
"""My computer is extremely slow. Can you analyze it?""";IT
"""The stock levels of the new delivery need to be checked.""";logistics
"""Could you provide a copy of the invoice for the last quarter?""";accounting
"""We need support in selecting applicants for the vacant position.""";human resources department
"""Can you update the financial forecasts for the coming quarter?""";accounting
"""There was a delivery delay from our main supplier, please check.""";logistics
"""We want to start a new email campaign and need ideas.""";marketing
"""I can't connect to the corporate network.""";IT
"""Could you please send the current status of pending payments?""";accounting
"""Please create a list of open positions and update the job portal.""";human resources department
"""The new annual financial statements are coming up, please prepare the documents.""";accounting
"""Our new product will be available soon, can you include this in the marketing strategy?""";marketing
"""My printer keeps showing error messages, can you help?""";IT
"""Could you please update the working hours overview data?""";staff
"""The new inventory management system requires an updated warehouse overview.""";logistics
"""Reminders for outstanding payments must be sent.""";accounting
"""We are urgently looking for a new sales intern.""";human resources department
"""The financial report for 2023 is due, please prepare.""";accounting
"""We are planning a discount campaign and need flyers and advertising materials.""";marketing
"""I'm having trouble updating the software on my laptop.""";IT
"""The number of open positions in the warehouse is too high, please check.""";logistics
"""Can you send a confirmation of the last payment for customer XY?""";accounting
"""We are looking for new talent for the management team.""";human resources department
"""The year-end tax reports are due.""";accounting
"""Please review the market analysis and update the reports.""";marketing
"""My desktop won't start. Can someone come over and help?""";IT
"""Can we start a new recruitment campaign for technical positions?""";staff
"""Storage space for current inventory is limited, please check.""";logistics
"""The sales tax for the last quarter needs to be updated.""";accounting
"""We need a new intern for the HR department.""";human resources department
"""Reconciliation of bookings for the quarter is necessary.""";accounting
"""We need new banners for the upcoming social media campaign.""";marketing
"""My account is locked. Can you reset it?""";IT
"""We need to update and digitize personnel files.""";staff
"""The new shipping policies should be implemented in the warehouse.""";logistics
"""Can you please check last week's bills?""";accounting
"""We are looking for new employees for the HR department.""";human resources department
"""Please provide the current cost overview.""";accounting
"""Can you provide an analysis of the last marketing campaign?""";marketing
"""My computer has been having network problems since the last update.""";IT
"""Some information is missing from the personnel files, please update.""";staff
"""Can you check the shipping documents for the last shipment?""";logistics
"""Please update late payment fees.""";accounting
"""We need support with the application process.""";human resources department
"""The current budget report is urgently needed.""";accounting
"""Our team needs new promotional materials for the product.""";marketing
"""My laptop regularly overheats, is there a solution?""";IT
"""The stock levels for the new products need to be checked.""";logistics
"""Please confirm income for last month.""";accounting
"""We are looking for a new human resources manager.""";human resources department
"""Please provide a list of outstanding debts.""";accounting
"""We urgently need support in organizing an event.""";marketing
"""The network is not working in my office, is there maintenance?""";IT
"""Training materials for new employees need to be updated.""";staff
"""Please check shipping times and optimize them if possible.""";logistics
"""Payments for the last quarter must be checked and confirmed.""";accounting
"""We are looking for new trainees for the marketing department.""";human resources department
"""Could you send me an updated overview of the costs?""";accounting
"""Please update the marketing strategy for the new product.""";marketing
"""I need access to the new software licenses.""";IT
"""The number of employees has increased, please update the records.""";staff
"""The delivery time for products from abroad should be shortened.""";logistics
"""Please check the account balance for the last quarter.""";accounting
"""We need new training materials for the HR department.""";human resources department
"""The financial report must be prepared for release.""";accounting
"""The last survey showed that our marketing needs to be improved.""";marketing
"""My phone is not connected to the network, could you check?""";IT
"""Please prepare the files for new employees.""";staff
"""Some items are missing from stock, please check.""";logistics
Could you provide the cost breakdown report for the last quarter;accounting
We need new creative ideas for next month’s social media campaign;marketing
My computer needs a new antivirus update, can you install it;IT
Please update the vacation overview for our team;staff
A delivery arrived incorrectly, can you please clarify this;logistics
We need to adapt the requirements profile for the new position;human resources department
Payments for the last invoices are still open, please check the;accounting
Could we discuss the budget planning for the coming year;accounting
The new newsletter draft for customers must be created;marketing
My laptop needs a new hard drive, can you organize this;IT
The delivery of the goods has been delayed, please inform the customers;logistics
I need a copy of my last pay slip;staff
The new recruitment campaigns should start next week;human resources department
We require confirmation of payment receipt from the customer;accounting
Please send the updated balance sheet for the past year;accounting
Could we schedule a meeting for the new marketing strategy;marketing
My email account is blocked, can you unlock it;IT
The number of available positions in the warehouse must be increased;logistics
Last week's bills have not been paid yet, please follow up;accounting
We urgently need support in recruiting new employees;human resources department
The tax documents for the current year must be prepared;accounting
Our new products should get more attention, can we promote this;marketing
Access to my network folder no longer works;IT
The inventory should be urgently checked and updated;logistics
The bookings for the quarter are incorrect, please check the documents;accounting
The list of vacancies must be updated and published;human resources department
The current budget report must be prepared urgently;accounting
We need flyers for the upcoming customer event;marketing
The company WLAN is not working properly, can you analyze it;IT
Items are missing from the warehouse, the order should be checked;logistics
Please confirm receipt of payment of the last reminders;accounting
We are looking for interns for the next semester, can you add that to the list;human resources department
The monthly financial statements need to be prepared, can you provide the figures;accounting
Our latest product needs a PR plan, can you prepare that;marketing
My mouse is not responding properly, could it be replaced;IT
We need a precise overview of the current delivery times;logistics
The reminders to customers have not yet been sent, please check;accounting
The selection process for the new position should begin soon;human resources department
Can you please prepare the annual financial statement for the tax office;accounting
We need creative suggestions for our new product line;marketing
The network printer is not printing, could you fix it;IT
The inventory data should be updated every two weeks;logistics
The bank statements of the last few months must be checked;accounting
We need a list of applicants for the new positions;human resources department
The current financial forecast must be completed before the end of the year;accounting
We urgently need promotional material for the upcoming trade fair;marketing
My password doesn't work, could this be reset;IT
A new order has arrived, please confirm arrival;logistics
The payment for the last invoice is still open, please check the;accounting
We are urgently looking for a replacement for the open position in the team;human resources department
The financial report must be completed before the next meeting;accounting
We need creative ideas for the next marketing campaign;marketing
My desktop needs an update, could you do that;IT
Incoming stocks should be fully documented;logistics
The new reminder fees must be set in time;accounting
A job advertisement for sales is required;human resources department
The revision of the accounting reports for the quarter is due;accounting
Our last Facebook post got a lot of attention, can we expand on that;marketing
The scanner in the office has an error, can you fix it;IT
Storage capacities are limited, a solution is urgently needed;logistics
The outstanding receivables for the last quarter must be checked;accounting
The personnel files must be adapted to the new structure;human resources department
The cash report for the last quarter must be completed;accounting
We are planning a discount campaign and need support for marketing;marketing
My password is about to expire, could you extend it;IT
Inventory levels for new products are lower than expected;logistics
Payments for the last year must be fully recorded;accounting
The selection of applicants should be completed by next week;human resources department
The tax report for the past year must be prepared;accounting
We want to advertise our main product more;marketing
The conference room is having technical problems, could you check this;IT
The inventory in the warehouse should take place soon;logistics
A reminder for the missing payments is necessary;accounting
We need training for new employees in the human resources department;human resources department
The cost report for the current year is urgently;accounting
We need creative graphics for the next advertising campaign;marketing
My email inbox is full, can this be expanded;IT
The number of goods in the warehouse must be checked weekly;logistics
Payment reminders to customers are missing, please check;accounting
Additional staff are needed for the human resources department;human resources department
The annual financial statements must be submitted by the end of the month;accounting
We are looking for a designer for our social media accounts;marketing
My computer needs a new keyboard, can you organize this;IT
The shipping stocks are incorrect, please check the;logistics
Some customers’ invoices remain unanswered;accounting
The HR department needs a new overview of vacancies;human resources department
The reconciliation of account balances for accounting purposes is necessary;accounting
The latest market analyses for advertising are due;marketing
My office PC won't start, could this be checked;IT
We need a new warehouse policy for the shipping area;logistics
The bank statements of the last two months must be reconciled;accounting
The new positions for the training programs are to be published;human resources department
The financial report for the last year is urgently needed;accounting
The advertising plan for the product should be updated;marketing
I have trouble logging into the network, could you help;IT
The items in the warehouse need to be reorganized;logistics
Payment confirmations must be created for the last customers;accounting
We need more staff for the recruitment phase;human resources department
The monthly statement has an error, could you check this;accounting
We want to create a new advertising strategy for our main product;marketing
My laptop won't start anymore, could you investigate this;IT
Incoming deliveries must be checked for the next inventory;logistics
The personnel documents for the new employee must be updated;staff
We need a training program for new applicants;human resources department
The payment of the last invoices is still open, please clarify this;accounting
We need a statement of costs for the past quarter;accounting
Advertising for the new product should begin next month;marketing
My workstation printer is no longer working, please help;IT
An important delivery has been delayed, please check the status;logistics
Can you send me a copy of my employment contract;staff
We are looking for new talents for our team, can you support us;human resources department
The outstanding invoice with the customer has not yet been settled, please remind;accounting
We need to prepare the financial overview for the current year;accounting
Our social media campaign needs new creative ideas;marketing
My access to the cloud platform does not work, can you help;IT
Incoming stocks must be correctly documented;logistics
The new pay slips must be prepared;staff
A list of open positions in sales is required;human resources department
The balance sheet for the last year is urgently needed;accounting
We need ideas for the next advertising campaign;marketing
My WiFi in the office is not working properly, could you check this;IT
Inventory levels need to be increased for the next quarter;logistics
Last month's invoices have not yet arrived;accounting
We need to develop a recruitment strategy for the new location;human resources department
The tax documents for the last financial year must be prepared;accounting
Advertising costs must be determined for the budget plan;marketing
My user account is locked, could you unlock it;IT
The inventory is scheduled for the coming weeks;logistics
Please confirm payment for the last orders;accounting
We need an intern for personnel selection;human resources department
The annual reports must be prepared for the next meeting;accounting
We need a presentation on the new product line;marketing
The projector in the conference room is no longer working, can you check this;IT
The orders received must be processed as quickly as possible;logistics
Some payments from last quarter are missing, please check the;accounting
Recruiting activities should begin next month;human resources department
Salary payments must be completed before the end of the month;accounting
We need suggestions for social media presence;marketing
My password for the internal network no longer works;IT
Goods receipts must be updated weekly;logistics
The outstanding invoices for the current year must be checked;accounting
We are looking for applicants for the new apprenticeships;human resources department
The quarterly report must be completed by next week;accounting
We are planning a new advertising campaign for our main product;marketing
My PC crashes frequently, could you fix it;IT
The stocks in the warehouse must be counted for the annual financial statements;logistics
An invoice still needs to be paid, please clarify;accounting
We need a plan for recruiting skilled workers;human resources department
